trait,master_species,value,unit,resource_id,contributor_id
substrate_attachment,Acanthastrea bowerbanki,attached,cat,,jmadin
substrate_attachment,Acanthastrea brevis,attached,cat,,jmadin
substrate_attachment,Acanthastrea echinata,attached,cat,,jmadin
substrate_attachment,Acanthastrea faviaformis,attached,cat,,jmadin
substrate_attachment,Acanthastrea hemprichii,attached,cat,,jmadin
substrate_attachment,Acanthastrea hillae,attached,cat,,jmadin
substrate_attachment,Acanthastrea ishigakiensis,attached,cat,,jmadin
substrate_attachment,Acanthastrea lordhowensis,attached,cat,,jmadin
substrate_attachment,Acanthastrea maxima,attached,cat,,jmadin
substrate_attachment,Acanthastrea regularis,attached,cat,,jmadin
substrate_attachment,Acanthastrea rotundoflora,attached,cat,,jmadin
substrate_attachment,Acanthastrea subechinata,attached,cat,,jmadin
substrate_attachment,Acropora abrolhosensis,attached,cat,,jmadin
substrate_attachment,Acropora abrotanoides,attached,cat,,jmadin
substrate_attachment,Acropora aculeus,attached,cat,,jmadin
substrate_attachment,Acropora acuminata,attached,cat,,jmadin
substrate_attachment,Acropora akajimensis,attached,cat,,jmadin
substrate_attachment,Acropora anthocercis,attached,cat,,jmadin
substrate_attachment,Acropora appressa,attached,cat,,jmadin
substrate_attachment,Acropora arabensis,attached,cat,,jmadin
substrate_attachment,Acropora aspera,attached,cat,,jmadin
substrate_attachment,Acropora austera,attached,cat,,jmadin
substrate_attachment,Acropora awi,attached,cat,,jmadin
substrate_attachment,Acropora azurea,attached,cat,,jmadin
substrate_attachment,Acropora batunai,attached,cat,,jmadin
substrate_attachment,Acropora bifurcata,attached,cat,,jmadin
substrate_attachment,Acropora branchi,attached,cat,,jmadin
substrate_attachment,Acropora brueggemanni,attached,cat,,jmadin
substrate_attachment,Acropora bushyensis,attached,cat,,jmadin
substrate_attachment,Acropora cardenae,attached,cat,,jmadin
substrate_attachment,Acropora carduus,attached,cat,,jmadin
substrate_attachment,Acropora caroliniana,attached,cat,,jmadin
substrate_attachment,Acropora cerealis,attached,cat,,jmadin
substrate_attachment,Acropora cervicornis,attached,cat,,jmadin
substrate_attachment,Acropora chesterfieldensis,attached,cat,,jmadin
substrate_attachment,Acropora clathrata,attached,cat,,jmadin
substrate_attachment,Acropora convexa,attached,cat,,jmadin
substrate_attachment,Acropora cophodactyla,attached,cat,,jmadin
substrate_attachment,Acropora copiosa,attached,cat,,jmadin
substrate_attachment,Acropora crateriformis,attached,cat,,jmadin
substrate_attachment,Acropora cuneata,attached,cat,,jmadin
substrate_attachment,Acropora cylindrica,attached,cat,,jmadin
substrate_attachment,Acropora cytherea,attached,cat,,jmadin
substrate_attachment,Acropora dendrum,attached,cat,,jmadin
substrate_attachment,Acropora derawanensis,attached,cat,,jmadin
substrate_attachment,Acropora desalwii,attached,cat,,jmadin
substrate_attachment,Acropora digitifera,attached,cat,,jmadin
substrate_attachment,Acropora divaricata,attached,cat,,jmadin
substrate_attachment,Acropora donei,attached,cat,,jmadin
substrate_attachment,Acropora downingi,attached,cat,,jmadin
substrate_attachment,Acropora echinata,attached,cat,,jmadin
substrate_attachment,Acropora efflorescens,attached,cat,,jmadin
substrate_attachment,Acropora elegans,attached,cat,,jmadin
substrate_attachment,Acropora elegantula,attached,cat,,jmadin
substrate_attachment,Acropora elizabethensis,attached,cat,,jmadin
substrate_attachment,Acropora elseyi,attached,cat,,jmadin
substrate_attachment,Acropora eurystoma,attached,cat,,jmadin
substrate_attachment,Acropora exquisita,attached,cat,,jmadin
substrate_attachment,Acropora fastigata,attached,cat,,jmadin
substrate_attachment,Acropora fenneri,attached,cat,,jmadin
substrate_attachment,Acropora filiformis,attached,cat,,jmadin
substrate_attachment,Acropora florida,attached,cat,,jmadin
substrate_attachment,Acropora formosa,attached,cat,,jmadin
substrate_attachment,Acropora forskali,attached,cat,,jmadin
substrate_attachment,Acropora gemmifera,attached,cat,,jmadin
substrate_attachment,Acropora glauca,attached,cat,,jmadin
substrate_attachment,Acropora globiceps,attached,cat,,jmadin
substrate_attachment,Acropora gomezi,attached,cat,,jmadin
substrate_attachment,Acropora grandis,attached,cat,,jmadin
substrate_attachment,Acropora granulosa,attached,cat,,jmadin
substrate_attachment,Acropora haimei,attached,cat,,jmadin
substrate_attachment,Acropora halmaherae,attached,cat,,jmadin
substrate_attachment,Acropora hemprichii,attached,cat,,jmadin
substrate_attachment,Acropora hoeksemai,attached,cat,,jmadin
substrate_attachment,Acropora horrida,attached,cat,,jmadin
substrate_attachment,Acropora humilis,attached,cat,,jmadin
substrate_attachment,Acropora hyacinthus,attached,cat,,jmadin
substrate_attachment,Acropora indiana,attached,cat,,jmadin
substrate_attachment,Acropora indonesia,attached,cat,,jmadin
substrate_attachment,Acropora inermis,attached,cat,,jmadin
substrate_attachment,Acropora insignis,attached,cat,,jmadin
substrate_attachment,Acropora irregularis,attached,cat,,jmadin
substrate_attachment,Acropora jacquelineae,attached,cat,,jmadin
substrate_attachment,Acropora japonica,attached,cat,,jmadin
substrate_attachment,Acropora khayranensis,attached,cat,,jmadin
substrate_attachment,Acropora kimbeensis,attached,cat,,jmadin
substrate_attachment,Acropora kirstyae,attached,cat,,jmadin
substrate_attachment,Acropora kosurini,attached,cat,,jmadin
substrate_attachment,Acropora lamarcki,attached,cat,,jmadin
substrate_attachment,Acropora latistella,attached,cat,,jmadin
substrate_attachment,Acropora lianae,attached,cat,,jmadin
substrate_attachment,Acropora listeri,attached,cat,,jmadin
substrate_attachment,Acropora loisetteae,attached,cat,,jmadin
substrate_attachment,Acropora lokani,attached,cat,,jmadin
substrate_attachment,Acropora longicyathus,attached,cat,,jmadin
substrate_attachment,Acropora loripes,attached,cat,,jmadin
substrate_attachment,Acropora lovelli,attached,cat,,jmadin
substrate_attachment,Acropora lutkeni,attached,cat,,jmadin
substrate_attachment,Acropora macrostoma,attached,cat,,jmadin
substrate_attachment,Acropora magnifica,attached,cat,,jmadin
substrate_attachment,Acropora maryae,attached,cat,,jmadin
substrate_attachment,Acropora massawensis,attached,cat,,jmadin
substrate_attachment,Acropora meridiana,attached,cat,,jmadin
substrate_attachment,Acropora microclados,attached,cat,,jmadin
substrate_attachment,Acropora microphthalma,attached,cat,,jmadin
substrate_attachment,Acropora millepora,attached,cat,,jmadin
substrate_attachment,Acropora minuta,attached,cat,,jmadin
substrate_attachment,Acropora mirabilis,attached,cat,,jmadin
substrate_attachment,Acropora monticulosa,attached,cat,,jmadin
substrate_attachment,Acropora mossambica,attached,cat,,jmadin
substrate_attachment,Acropora multiacuta,attached,cat,,jmadin
substrate_attachment,Acropora nana,attached,cat,,jmadin
substrate_attachment,Acropora nasuta,attached,cat,,jmadin
substrate_attachment,Acropora natalensis,attached,cat,,jmadin
substrate_attachment,Acropora navini,attached,cat,,jmadin
substrate_attachment,Acropora nobilis,attached,cat,,jmadin
substrate_attachment,Acropora ocellata,attached,cat,,jmadin
substrate_attachment,Acropora orbicularis,attached,cat,,jmadin
substrate_attachment,Acropora pagoensis,attached,cat,,jmadin
substrate_attachment,Acropora palifera,attached,cat,,jmadin
substrate_attachment,Acropora palmata,attached,cat,,jmadin
substrate_attachment,Acropora palmerae,attached,cat,,jmadin
substrate_attachment,Acropora paniculata,attached,cat,,jmadin
substrate_attachment,Acropora papillare,attached,cat,,jmadin
substrate_attachment,Acropora paragemmifera,attached,cat,,jmadin
substrate_attachment,Acropora parahemprichii,attached,cat,,jmadin
substrate_attachment,Acropora parapharaonis,attached,cat,,jmadin
substrate_attachment,Acropora parilis,attached,cat,,jmadin
substrate_attachment,Acropora pectinatus,attached,cat,,jmadin
substrate_attachment,Acropora pharaonis,attached,cat,,jmadin
substrate_attachment,Acropora pichoni,attached,cat,,jmadin
substrate_attachment,Acropora pinguis,attached,cat,,jmadin
substrate_attachment,Acropora plana,attached,cat,,jmadin
substrate_attachment,Acropora plantaginea,attached,cat,,jmadin
substrate_attachment,Acropora plumosa,attached,cat,,jmadin
substrate_attachment,Acropora pocilloporina,attached,cat,,jmadin
substrate_attachment,Acropora polystoma,attached,cat,,jmadin
substrate_attachment,Acropora prolifera,attached,cat,,jmadin
substrate_attachment,Acropora prostrata,attached,cat,,jmadin
substrate_attachment,Acropora proximalis,attached,cat,,jmadin
substrate_attachment,Acropora pruinosa,attached,cat,,jmadin
substrate_attachment,Acropora pulchra,attached,cat,,jmadin
substrate_attachment,Acropora rambleri,attached,cat,,jmadin
substrate_attachment,Acropora retusa,attached,cat,,jmadin
substrate_attachment,Acropora ridzwani,attached,cat,,jmadin
substrate_attachment,Acropora robusta,attached,cat,,jmadin
substrate_attachment,Acropora rongelapensis,attached,cat,,jmadin
substrate_attachment,Acropora rosaria,attached,cat,,jmadin
substrate_attachment,Acropora roseni,attached,cat,,jmadin
substrate_attachment,Acropora rudis,attached,cat,,jmadin
substrate_attachment,Acropora rufus,attached,cat,,jmadin
substrate_attachment,Acropora russelli,attached,cat,,jmadin
substrate_attachment,Acropora samoensis,attached,cat,,jmadin
substrate_attachment,Acropora sarmentosa,attached,cat,,jmadin
substrate_attachment,Acropora scherzeriana,attached,cat,,jmadin
substrate_attachment,Acropora schmitti,attached,cat,,jmadin
substrate_attachment,Acropora secale,attached,cat,,jmadin
substrate_attachment,Acropora sekiseiensis,attached,cat,,jmadin
substrate_attachment,Acropora selago,attached,cat,,jmadin
substrate_attachment,Acropora seriata,attached,cat,,jmadin
substrate_attachment,Acropora simplex,attached,cat,,jmadin
substrate_attachment,Acropora solitaryensis,attached,cat,,jmadin
substrate_attachment,Acropora sordiensis,attached,cat,,jmadin
substrate_attachment,Acropora spathulata,attached,cat,,jmadin
substrate_attachment,Acropora speciosa,attached,cat,,jmadin
substrate_attachment,Acropora spicifera,attached,cat,,jmadin
substrate_attachment,Acropora squarrosa,attached,cat,,jmadin
substrate_attachment,Acropora stoddarti,attached,cat,,jmadin
substrate_attachment,Acropora striata,attached,cat,,jmadin
substrate_attachment,Acropora subglabra,attached,cat,,jmadin
substrate_attachment,Acropora subulata,attached,cat,,jmadin
substrate_attachment,Acropora suharsonoi,attached,cat,,jmadin
substrate_attachment,Acropora sukarnoi,attached,cat,,jmadin
substrate_attachment,Acropora surculosa,attached,cat,,jmadin
substrate_attachment,Acropora tanegashimensis,attached,cat,,jmadin
substrate_attachment,Acropora tenella,attached,cat,,jmadin
substrate_attachment,Acropora tenuis,attached,cat,,jmadin
substrate_attachment,Acropora teres,attached,cat,,jmadin
substrate_attachment,Acropora tizardi,attached,cat,,jmadin
substrate_attachment,Acropora togianensis,attached,cat,,jmadin
substrate_attachment,Acropora torihalimeda,attached,cat,,jmadin
substrate_attachment,Acropora torresiana,attached,cat,,jmadin
substrate_attachment,Acropora tortuosa,attached,cat,,jmadin
substrate_attachment,Acropora tumida,attached,cat,,jmadin
substrate_attachment,Acropora turaki,attached,cat,,jmadin
substrate_attachment,Acropora tutuilensis,attached,cat,,jmadin
substrate_attachment,Acropora valenciennesi,attached,cat,,jmadin
substrate_attachment,Acropora valida,attached,cat,,jmadin
substrate_attachment,Acropora variabilis,attached,cat,,jmadin
substrate_attachment,Acropora variolosa,attached,cat,,jmadin
substrate_attachment,Acropora vaughani,attached,cat,,jmadin
substrate_attachment,Acropora vermiculata,attached,cat,,jmadin
substrate_attachment,Acropora verweyi,attached,cat,,jmadin
substrate_attachment,Acropora walindii,attached,cat,,jmadin
substrate_attachment,Acropora wallaceae,attached,cat,,jmadin
substrate_attachment,Acropora willisae,attached,cat,,jmadin
substrate_attachment,Acropora yongei,attached,cat,,jmadin
substrate_attachment,Agaricia agaricites,attached,cat,,jmadin
substrate_attachment,Agaricia fragilis,attached,cat,,jmadin
substrate_attachment,Agaricia grahamae,attached,cat,,jmadin
substrate_attachment,Agaricia humilis,attached,cat,,jmadin
substrate_attachment,Agaricia lamarcki,attached,cat,,jmadin
substrate_attachment,Agaricia tenuifolia,attached,cat,,jmadin
substrate_attachment,Agaricia undata,attached,cat,,jmadin
substrate_attachment,Alveopora allingi,attached,cat,,jmadin
substrate_attachment,Alveopora catalai,attached,cat,,jmadin
substrate_attachment,Alveopora daedalea,attached,cat,,jmadin
substrate_attachment,Alveopora excelsa,attached,cat,,jmadin
substrate_attachment,Alveopora fenestrata,attached,cat,,jmadin
substrate_attachment,Alveopora gigas,attached,cat,,jmadin
substrate_attachment,Alveopora japonica,attached,cat,,jmadin
substrate_attachment,Alveopora marionensis,attached,cat,,jmadin
substrate_attachment,Alveopora minuta,attached,cat,,jmadin
substrate_attachment,Alveopora ocellata,attached,cat,,jmadin
substrate_attachment,Alveopora spongiosa,attached,cat,,jmadin
substrate_attachment,Alveopora verrilliana,attached,cat,,jmadin
substrate_attachment,Alveopora viridis,attached,cat,,jmadin
substrate_attachment,Anacropora forbesi,attached,cat,,jmadin
substrate_attachment,Anacropora matthai,attached,cat,,jmadin
substrate_attachment,Anacropora pillai,attached,cat,,jmadin
substrate_attachment,Anacropora puertogalerae,attached,cat,,jmadin
substrate_attachment,Anacropora reticulata,attached,cat,,jmadin
substrate_attachment,Anacropora spinosa,attached,cat,,jmadin
substrate_attachment,Anacropora spumosa,attached,cat,,jmadin
substrate_attachment,Anomastraea irregularis,attached,cat,,jmadin
substrate_attachment,Anomocora carinata,unattached,cat,,jmadin
substrate_attachment,Anomocora fecunda,unattached,cat,,jmadin
substrate_attachment,Anthemiphyllia dentata,both,cat,,jmadin
substrate_attachment,Anthemiphyllia frustum,both,cat,,jmadin
substrate_attachment,Anthemiphyllia macrolobata,both,cat,,jmadin
substrate_attachment,Anthemiphyllia multidentata,both,cat,,jmadin
substrate_attachment,Anthemiphyllia pacifica,both,cat,,jmadin
substrate_attachment,Anthemiphyllia pateracostata,unattached,cat,,jmadin
substrate_attachment,Anthemiphyllia paterapatera,both,cat,,jmadin
substrate_attachment,Anthemiphyllia spinifera,unattached,cat,,jmadin
substrate_attachment,Asterosmilia gigas,unattached,cat,,jmadin
substrate_attachment,Asterosmilia marchadi,both,cat,,jmadin
substrate_attachment,Astrangia atrata,attached,cat,,jmadin
substrate_attachment,Astrangia browni,attached,cat,,jmadin
substrate_attachment,Astrangia californica,attached,cat,,jmadin
substrate_attachment,Astrangia conferta,attached,cat,,jmadin
substrate_attachment,Astrangia costata,attached,cat,,jmadin
substrate_attachment,Astrangia dentata,attached,cat,,jmadin
substrate_attachment,Astrangia equatorialis,attached,cat,,jmadin
substrate_attachment,Astrangia haimei,attached,cat,,jmadin
substrate_attachment,Astrangia howardi,attached,cat,,jmadin
substrate_attachment,Astrangia lajollaensis ,attached,cat,,jmadin
substrate_attachment,Astrangia macrodentata,attached,cat,,jmadin
substrate_attachment,Astrangia mercatoris,attached,cat,,jmadin
substrate_attachment,Astrangia poculata,attached,cat,,jmadin
substrate_attachment,Astrangia rathbuni,attached,cat,,jmadin
substrate_attachment,Astrangia solitaria,attached,cat,,jmadin
substrate_attachment,Astrangia woodsi,attached,cat,,jmadin
substrate_attachment,Astreopora cucullata,attached,cat,,jmadin
substrate_attachment,Astreopora eliptica,attached,cat,,jmadin
substrate_attachment,Astreopora expansa,attached,cat,,jmadin
substrate_attachment,Astreopora explanata,attached,cat,,jmadin
substrate_attachment,Astreopora gracilis,attached,cat,,jmadin
substrate_attachment,Astreopora incrustans,attached,cat,,jmadin
substrate_attachment,Astreopora lambertsi,attached,cat,,jmadin
substrate_attachment,Astreopora listeri,attached,cat,,jmadin
substrate_attachment,Astreopora macrostoma,attached,cat,,jmadin
substrate_attachment,Astreopora moretonensis,attached,cat,,jmadin
substrate_attachment,Astreopora myriophthalma,attached,cat,,jmadin
substrate_attachment,Astreopora ocellata,attached,cat,,jmadin
substrate_attachment,Astreopora randalli,attached,cat,,jmadin
substrate_attachment,Astreopora scabra,attached,cat,,jmadin
substrate_attachment,Astreopora suggesta,attached,cat,,jmadin
substrate_attachment,Astroides calycularis,attached,cat,,jmadin
substrate_attachment,Aulocyathus atlanticus,unattached,cat,,jmadin
substrate_attachment,Aulocyathus juvenescens,unattached,cat,,jmadin
substrate_attachment,Aulocyathus matricidus,unattached,cat,,jmadin
substrate_attachment,Aulocyathus recidivus,unattached,cat,,jmadin
substrate_attachment,Australocyathus vincentinus,unattached,cat,,jmadin
substrate_attachment,Australogyra zelli,attached,cat,,jmadin
substrate_attachment,Australomussa rowleyensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia bairdiana,attached,cat,,jmadin
substrate_attachment,Balanophyllia bayeri,attached,cat,,jmadin
substrate_attachment,Balanophyllia bonaespei,attached,cat,,jmadin
substrate_attachment,Balanophyllia buccina,attached,cat,,jmadin
substrate_attachment,Balanophyllia capensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia caribbeana,attached,cat,,jmadin
substrate_attachment,Balanophyllia carinata,attached,cat,,jmadin
substrate_attachment,Balanophyllia cedrosensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia cellulosa,attached,cat,,jmadin
substrate_attachment,Balanophyllia chnous,attached,cat,,jmadin
substrate_attachment,Balanophyllia corniculans,attached,cat,,jmadin
substrate_attachment,Balanophyllia cornu,attached,cat,,jmadin
substrate_attachment,Balanophyllia crassiseptum,attached,cat,,jmadin
substrate_attachment,Balanophyllia crassitheca,attached,cat,,jmadin
substrate_attachment,Balanophyllia cumingii,attached,cat,,jmadin
substrate_attachment,Balanophyllia cyathoides,attached,cat,,jmadin
substrate_attachment,Balanophyllia dentata,attached,cat,,jmadin
substrate_attachment,Balanophyllia desmophyllioides,attached,cat,,jmadin
substrate_attachment,Balanophyllia diademata,attached,cat,,jmadin
substrate_attachment,Balanophyllia diffusa,attached,cat,,jmadin
substrate_attachment,Balanophyllia dineta,attached,cat,,jmadin
substrate_attachment,Balanophyllia diomedeae,attached,cat,,jmadin
substrate_attachment,Balanophyllia dubia,attached,cat,,jmadin
substrate_attachment,Balanophyllia elegans,attached,cat,,jmadin
substrate_attachment,Balanophyllia elliptica,attached,cat,,jmadin
substrate_attachment,Balanophyllia elongata,attached,cat,,jmadin
substrate_attachment,Balanophyllia europaea,attached,cat,,jmadin
substrate_attachment,Balanophyllia floridana,attached,cat,,jmadin
substrate_attachment,Balanophyllia galapagensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia gemma,attached,cat,,jmadin
substrate_attachment,Balanophyllia gemmifera,attached,cat,,jmadin
substrate_attachment,Balanophyllia generatrix,attached,cat,,jmadin
substrate_attachment,Balanophyllia gigas,attached,cat,,jmadin
substrate_attachment,Balanophyllia hadros,attached,cat,,jmadin
substrate_attachment,Balanophyllia imperialis,attached,cat,,jmadin
substrate_attachment,Balanophyllia iwayamaensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia laysanensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia malouiensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia merguiensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia palifera,attached,cat,,jmadin
substrate_attachment,Balanophyllia parallela,attached,cat,,jmadin
substrate_attachment,Balanophyllia parvula,attached,cat,,jmadin
substrate_attachment,Balanophyllia pittieri,unattached,cat,,jmadin
substrate_attachment,Balanophyllia ponderosa,attached,cat,,jmadin
substrate_attachment,Balanophyllia profundicella,attached,cat,,jmadin
substrate_attachment,Balanophyllia rediviva,attached,cat,,jmadin
substrate_attachment,Balanophyllia regalis,unattached,cat,,jmadin
substrate_attachment,Balanophyllia regia,attached,cat,,jmadin
substrate_attachment,Balanophyllia scabra,attached,cat,,jmadin
substrate_attachment,Balanophyllia scabrosa,attached,cat,,jmadin
substrate_attachment,Balanophyllia serrata,attached,cat,,jmadin
substrate_attachment,Balanophyllia stimpsonii,unattached,cat,,jmadin
substrate_attachment,Balanophyllia taprobanae,attached,cat,,jmadin
substrate_attachment,Balanophyllia tenuis,attached,cat,,jmadin
substrate_attachment,Balanophyllia teres,attached,cat,,jmadin
substrate_attachment,Balanophyllia thalassae,attached,cat,,jmadin
substrate_attachment,Balanophyllia wellsi,attached,cat,,jmadin
substrate_attachment,Balanophyllia yongei,attached,cat,,jmadin
substrate_attachment,Barabattoia amicorum,attached,cat,,jmadin
substrate_attachment,Barabattoia laddi,attached,cat,,jmadin
substrate_attachment,Bathypsammia fallosocialis,attached,cat,,jmadin
substrate_attachment,Bathypsammia tintinnabulum,attached,cat,,jmadin
substrate_attachment,Blastomussa merleti,attached,cat,,jmadin
substrate_attachment,Blastomussa wellsi,attached,cat,,jmadin
substrate_attachment,Boninastrea boninensis,attached,cat,,jmadin
substrate_attachment,Bourneotrochus stellulatus,unattached,cat,,jmadin
substrate_attachment,Cantharellus doederleini,attached,cat,,jmadin
substrate_attachment,Cantharellus jebbi,attached,cat,,jmadin
substrate_attachment,Cantharellus noumeae,attached,cat,,jmadin
substrate_attachment,Caryophyllia abyssorum,attached,cat,,jmadin
substrate_attachment,Caryophyllia alaskensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia alberti,attached,cat,,jmadin
substrate_attachment,Caryophyllia ambrosiaambrosia,unattached,cat,,jmadin
substrate_attachment,Caryophyllia ambrosiacaribbeana,unattached,cat,,jmadin
substrate_attachment,Caryophyllia antarctica,attached,cat,,jmadin
substrate_attachment,Caryophyllia antillarum,attached,cat,,jmadin
substrate_attachment,Caryophyllia arnoldi,attached,cat,,jmadin
substrate_attachment,Caryophyllia atlantica,attached,cat,,jmadin
substrate_attachment,Caryophyllia barbadensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia berteriana,attached,cat,,jmadin
substrate_attachment,Caryophyllia calveri,attached,cat,,jmadin
substrate_attachment,Caryophyllia capensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia cornuformis,unattached,cat,,jmadin
substrate_attachment,Caryophyllia corrugata,attached,cat,,jmadin
substrate_attachment,Caryophyllia decamera,attached,cat,,jmadin
substrate_attachment,Caryophyllia diomedeae,attached,cat,,jmadin
substrate_attachment,Caryophyllia eltaninae,attached,cat,,jmadin
substrate_attachment,Caryophyllia ephyala,attached,cat,,jmadin
substrate_attachment,Caryophyllia foresti,attached,cat,,jmadin
substrate_attachment,Caryophyllia grandis,unattached,cat,,jmadin
substrate_attachment,Caryophyllia hawaiiensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia horologium,attached,cat,,jmadin
substrate_attachment,Caryophyllia inornata,attached,cat,,jmadin
substrate_attachment,Caryophyllia japonica,attached,cat,,jmadin
substrate_attachment,Caryophyllia jogashimaensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia lamellifera,attached,cat,,jmadin
substrate_attachment,Caryophyllia mabahithi,unattached,cat,,jmadin
substrate_attachment,Caryophyllia marmorea,attached,cat,,jmadin
substrate_attachment,Caryophyllia octopali,attached,cat,,jmadin
substrate_attachment,Caryophyllia paradoxus,attached,cat,,jmadin
substrate_attachment,Caryophyllia paucipalata,attached,cat,,jmadin
substrate_attachment,Caryophyllia pauciseptata,unattached,cat,,jmadin
substrate_attachment,Caryophyllia perculta,attached,cat,,jmadin
substrate_attachment,Caryophyllia planilamellata,both,cat,,jmadin
